frame_time,MAX Blue,MAX Green,MAX Orange,MAX Red,MAX Yellow,Streetcar NS,Streetcar A,Streetcar B,Commuter Rail,Bus,smooth_MAX Blue,smooth_MAX Green,smooth_MAX Orange,smooth_MAX Red,smooth_MAX Yellow,smooth_Streetcar NS,smooth_Streetcar A,smooth_Streetcar B,smooth_Commuter Rail,smooth_Bus
2025-09-10 07:09:20,16.0,6.0,4.0,6.0,5.0,4.0,3.0,3.0,2.0,275.0,13.533333333333333,6.816666666666666,3.7333333333333334,8.916666666666666,3.3,4.633333333333334,2.816666666666667,3.0,2.0,268.01666666666665
2025-09-10 07:09:30,16.0,6.0,4.0,6.0,5.0,4.0,3.0,3.0,2.0,275.0,13.6,6.8,3.716666666666667,8.85,3.35,4.633333333333334,2.816666666666667,3.0,2.0,268.21666666666664
2025-09-10 07:09:40,16.0,6.0,4.0,7.0,5.0,4.0,3.0,3.0,2.0,275.0,13.666666666666666,6.783333333333333,3.7,8.8,3.4,4.633333333333334,2.816666666666667,3.0,2.0,268.4166666666667
2025-09-10 07:09:50,15.0,6.0,4.0,7.0,5.0,4.0,3.0,3.0,2.0,275.0,13.716666666666667,6.766666666666667,3.683333333333333,8.75,3.45,4.633333333333334,2.816666666666667,3.0,2.0,268.6
2025-09-10 07:10:00,15.0,6.0,4.0,7.0,4.0,4.0,3.0,3.0,2.0,280.0,13.766666666666667,6.75,3.6666666666666665,8.7,3.4833333333333334,4.633333333333334,2.816666666666667,3.0,2.0,268.73333333333335
2025-09-10 07:10:10,15.0,6.0,4.0,7.0,4.0,4.0,3.0,2.0,2.0,277.0,13.816666666666666,6.733333333333333,3.65,8.65,3.5166666666666666,4.633333333333334,2.816666666666667,2.9833333333333334,2.0,268.8833333333333
2025-09-10 07:10:20,14.0,6.0,4.0,7.0,4.0,4.0,3.0,2.0,2.0,276.0,13.85,6.716666666666667,3.6333333333333333,8.6,3.55,4.633333333333334,2.816666666666667,2.966666666666667,2.0,269.01666666666665
2025-09-10 07:10:30,14.0,6.0,4.0,7.0,4.0,4.0,3.0,2.0,2.0,276.0,13.883333333333333,6.7,3.6166666666666667,8.55,3.5833333333333335,4.633333333333334,2.816666666666667,2.95,2.0,269.15
2025-09-10 07:10:40,14.0,7.0,4.0,7.0,4.0,4.0,3.0,2.0,2.0,276.0,13.916666666666666,6.7,3.6,8.5,3.6166666666666667,4.633333333333334,2.816666666666667,2.933333333333333,2.0,269.28333333333336
2025-09-10 07:10:50,14.0,7.0,4.0,7.0,4.0,4.0,3.0,2.0,2.0,276.0,13.95,6.7,3.6,8.45,3.65,4.633333333333334,2.816666666666667,2.9166666666666665,2.0,269.4166666666667
2025-09-10 07:11:00,13.0,7.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,277.0,13.966666666666667,6.7,3.6,8.416666666666666,3.683333333333333,4.633333333333334,2.816666666666667,2.9,2.0,269.53333333333336
2025-09-10 07:11:10,13.0,7.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,275.0,13.983333333333333,6.716666666666667,3.6,8.383333333333333,3.716666666666667,4.633333333333334,2.816666666666667,2.8833333333333333,2.0,269.7
2025-09-10 07:11:20,13.0,7.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,274.0,14.0,6.716666666666667,3.6,8.35,3.75,4.633333333333334,2.816666666666667,2.8666666666666667,2.0,269.85
2025-09-10 07:11:30,13.0,7.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,274.0,14.016666666666667,6.716666666666667,3.6,8.316666666666666,3.783333333333333,4.633333333333334,2.816666666666667,2.85,2.0,270.0
2025-09-10 07:11:40,13.0,7.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,274.0,14.033333333333333,6.716666666666667,3.6,8.283333333333333,3.816666666666667,4.633333333333334,2.816666666666667,2.8333333333333335,2.0,270.15
2025-09-10 07:11:50,13.0,7.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,274.0,14.05,6.716666666666667,3.6,8.25,3.85,4.633333333333334,2.816666666666667,2.816666666666667,2.0,270.3
2025-09-10 07:12:00,13.0,7.0,4.0,8.0,3.0,4.0,3.0,2.0,2.0,279.0,14.066666666666666,6.716666666666667,3.6,8.216666666666667,3.8666666666666667,4.616666666666666,2.816666666666667,2.8,2.0,270.4
2025-09-10 07:12:10,13.0,7.0,4.0,8.0,3.0,4.0,3.0,2.0,2.0,272.0,14.083333333333334,6.716666666666667,3.6,8.183333333333334,3.8666666666666667,4.616666666666666,2.816666666666667,2.783333333333333,2.0,270.46666666666664
2025-09-10 07:12:20,13.0,7.0,4.0,8.0,3.0,4.0,3.0,2.0,2.0,272.0,14.1,6.716666666666667,3.6,8.15,3.8666666666666667,4.616666666666666,2.816666666666667,2.7666666666666666,2.0,270.53333333333336
