shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
191,7,48.628979,-123.245575
191,8,48.631363,-123.179138
191,9,48.631134,-123.169868
191,10,48.627392,-123.133820
191,11,48.629318,-123.123009
191,12,48.628525,-123.106873
191,13,48.627277,-123.095886
191,14,48.623985,-123.087471
191,15,48.576534,-123.027390
191,16,48.560062,-123.003014
191,17,48.544613,-122.990997
191,18,48.541767,-122.961990
191,19,48.541088,-122.949631
191,20,48.543472,-122.941216
191,21,48.561314,-122.908089
191,22,48.574604,-122.895386
191,23,48.576763,-122.889549
191,24,48.573139,-122.854958
191,25,48.534054,-122.828178
191,26,48.527229,-122.807579
191,27,48.529049,-122.779427
191,28,48.520832,-122.694328
191,29,48.519012,-122.685654
191,30,48.516113,-122.680679
191,31,48.511906,-122.677505
191,32,48.506730,-122.678140
1910,0,48.644185,-123.397590
1910,1,48.643089,-123.396635
1910,2,48.643047,-123.384277
1910,3,48.656544,-123.346855
1910,4,48.656654,-123.339302
1910,5,48.654953,-123.329514
1910,6,48.629318,-123.245918
1910,7,48.631588,-123.170555
1910,8,48.627502,-123.133652
1910,9,48.629547,-123.123352
1910,10,48.627392,-123.096054
1910,11,48.624905,-123.089104
1910,12,48.559383,-123.001816
1910,13,48.546883,-123.002670
1910,14,48.544952,-123.005936
1910,15,48.542091,-123.011902
1910,16,48.535123,-123.014520
2022,0,47.511950,-122.497364
2022,1,47.512714,-122.495850
2022,2,47.513264,-122.494308
2022,3,47.513859,-122.491478
2022,4,47.514263,-122.484848
2022,5,47.514496,-122.479607
2022,6,47.514538,-122.476044
2022,7,47.514366,-122.472763
2022,8,47.513729,-122.468643
2022,9,47.512684,-122.464264
2022,10,47.512451,-122.463623
2022,11,47.512104,-122.463577
2022,12,47.510174,-122.463921
209,0,47.511950,-122.497363
209,1,47.513065,-122.495903
209,2,47.513790,-122.494064
209,3,47.514282,-122.490585
209,4,47.518288,-122.449921
209,5,47.523026,-122.400742
209,6,47.523300,-122.397369
209,7,47.523214,-122.395526
2116,0,47.332969,-122.506806
2116,1,47.332058,-122.507881
2116,2,47.305523,-122.514273
2220,0,47.510174,-122.463921
2220,1,47.512104,-122.463577
2220,2,47.512451,-122.463623
2220,3,47.512684,-122.464264
2220,4,47.513729,-122.468643
2220,5,47.514366,-122.472763
2220,6,47.514538,-122.476044
2220,7,47.514496,-122.479607
2220,8,47.514263,-122.484848
2220,9,47.513859,-122.491478
2220,10,47.513264,-122.494308
2220,11,47.512714,-122.495850
2220,12,47.511950,-122.497363
229,0,47.510174,-122.463921
229,1,47.511154,-122.463165
229,2,47.511616,-122.462479
229,3,47.523125,-122.396942
229,4,47.523214,-122.395526
37,0,47.623105,-122.511205
37,1,47.622139,-122.509224
37,2,47.621937,-122.508339
37,3,47.621735,-122.506882
37,4,47.621964,-122.504845
37,5,47.622383,-122.503098
37,6,47.622211,-122.500519
37,7,47.620590,-122.497002
37,8,47.619434,-122.492798
37,9,47.602990,-122.337955
47,0,47.563502,-122.626835
47,1,47.559635,-122.620338
47,2,47.558769,-122.615959
47,3,47.560448,-122.609528
47,4,47.583668,-122.579056
47,5,47.586040,-122.574593
47,6,47.588531,-122.566437
